Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled
TRUST mit Epsilon=0.00010,0.0,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.01,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.02,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.03,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.04,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.05,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.06,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.07,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.08,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.09,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.10,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.11,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.12,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.13,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.14,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.15,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.16,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.17,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.18,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.19,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.20,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.21,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.22,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.23,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.24,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
TRUST mit Epsilon=0.00010,0.25,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
